time,seconds_elapsed,z,y,x
1679441228923555000,15.50555517578125,0.801146871048212,-0.08379764262735843,-0.529426609930396
1679441228933527000,15.515527099609375,0.5303057308524847,-0.08880933330953121,-0.6019727907031774
1679441228943499000,15.5254990234375,0.26280922490954395,-0.169066526851058,-0.5505246352776885
1679441228953471200,15.53547119140625,0.17939444411993025,-0.27588556410372256,-0.5704626769348978
1679441228963443000,15.54544287109375,0.3380083313439041,-0.4339116415023803,-0.9151531894564628
1679441228973415200,15.555415283203125,0.5683071063362062,-0.49395197644531724,-1.1870318560063837
1679441228983387000,15.565386962890624,0.8566355340361594,-0.40656127776205536,-1.2272776494160293
1679441228993359000,15.575359130859376,1.004195746999979,-0.2501724461764097,-1.1252873474940657
1679441229003331000,15.5853310546875,1.1436240914344786,-0.17315175033807753,-1.0240659841179847
1679441229013303000,15.595302978515624,1.481330590287596,-0.14267010283470152,-0.9435931019991636
1679441229023275300,15.605275146484376,1.678715156867355,-0.04960252755880355,-0.658371262012422
1679441229033247000,15.6152470703125,1.6316028386890886,0.051069092980027195,-0.4223275866925716
1679441229043220000,15.625219970703125,1.57137954839468,0.13855740681886672,-0.1870347297400236
1679441229053192200,15.635192138671876,1.6183675095409153,0.3046493017733097,0.11188684203624724
1679441229063164000,15.645163818359375,1.6889733699008822,0.44963469581305976,0.25039514901638027
1679441229073136000,15.65513623046875,1.609076826365292,0.5486392599225044,0.34870354755520816
1679441229083108000,15.665108154296876,1.414955937756598,0.632764819329977,0.32817952270358797
1679441229093080000,15.675080078125,1.1485022188648581,0.6537649372607469,0.22603607604652642
1679441229103052000,15.685052001953125,0.8054986365169287,0.498074024811387,0.09200462221950292
1679441229113024000,15.69502392578125,0.43255613524019715,0.3480839543521404,0.11529197430461645
1679441229122996000,15.704995849609375,0.08985884236246347,0.3255412831544876,0.2561503515422344
1679441229132968200,15.71496826171875,-0.2123275764286518,0.243911047694087,0.3208209766343236
1679441229142940200,15.724940185546876,-0.36719942758008833,0.05656184517741203,0.34643896362408994
1679441229152912100,15.734912109375,-0.5194844771087169,-0.12675766343176365,0.44523090789616104
1679441229162884000,15.744884033203125,-0.660506812736392,-0.31380992882847786,0.6193013805143535
1679441229172856000,15.75485595703125,-0.7543193611606955,-0.36659926972985263,0.8555119368337094
1679441229182828300,15.764828369140625,-0.7918518039584159,-0.2533171739429235,1.0829691317245365
1679441229192800000,15.774800048828125,-0.677566084086895,-0.0768973617196083,1.2804919377312063
1679441229202772200,15.784772216796876,-0.45344344044625756,0.13833879563212395,1.480061154873669
1679441229212744000,15.794743896484375,-0.25802111385017634,0.29574118817448614,1.656869674153626
1679441229222716200,15.804716064453125,-0.14379282325431703,0.24984979009330271,1.8430295207552612
1679441229232689200,15.814689208984374,-0.19174173838719724,0.05082885448336601,1.937068133020401
1679441229242661000,15.8246611328125,-0.4102689001083374,-0.19748130495250224,1.9745850859880447
1679441229252633000,15.834633056640625,-0.743684277638793,-0.5024620306372642,1.915771370230615
1679441229262605300,15.844605224609374,-1.0900701959013939,-0.7948638452559709,1.7929709199920296
1679441229272577000,15.854576904296875,-1.3866566027283667,-1.0360679720789194,1.667162520109117
1679441229282549200,15.86454931640625,-1.6067488218091428,-1.0919202076822518,1.4455160573236643
1679441229292521000,15.87452099609375,-1.707899896427989,-0.8831476933866739,1.146031444837153
1679441229302493200,15.8844931640625,-1.8108758483864367,-0.6185954242020845,0.886873728172481
1679441229312465200,15.894465087890625,-1.9226592300482093,-0.46531157289445396,0.5969504324965179
1679441229322437000,15.90443701171875,-1.9738367518387734,-0.45770986571907996,0.27251199601739645
1679441229332409000,15.9144091796875,-1.8581033173769712,-0.6036755029678345,-0.10294336486309766
1679441229342381000,15.924381103515625,-1.61417634146139,-0.8054846079915762,-0.5430265346072614
1679441229352353000,15.93435302734375,-1.2416535269014537,-0.9570569792062044,-0.9780565126150846
1679441229362325200,15.9443251953125,-0.8138758581094443,-0.9182745363473892,-1.2989660443156956
1679441229372297000,15.954296875,-0.357374345266819,-0.5990443360358476,-1.4508055420339108
1679441229382269200,15.964269287109374,-0.0352267962038517,-0.05678220992982387,-1.4346917348399757
1679441229392241000,15.974240966796875,0.07940890614911914,0.5062848037958145,-1.230827450852096
1679441229402213000,15.984213134765625,0.07952244952619075,0.8457429686218499,-0.9992100675418972
1679441229412186000,15.99418603515625,0.06850070477426051,0.8679863646119832,-0.7997899034813046
1679441229422158000,16.004157958984376,0.06537351266443729,0.7224906829625368,-0.5430138212561607
1679441229432130000,16.014130126953123,0.04583528397977352,0.566284806728363,-0.22784283320754764
1679441229442102300,16.024102294921875,0.030754034703969955,0.5080173266768455,0.11173165147453545
1679441229452074000,16.034073974609374,0.03393003439158201,0.4658773900836706,0.4713524604938924
1679441229462046200,16.044046142578125,0.06661679072380065,0.37601942450404163,0.7125137710884213
1679441229472021500,16.054021484375,0.1033183356553316,0.22910861535966395,0.8605033153802156
1679441229481993700,16.06399365234375,0.12127440971508621,0.07569207758307457,0.9594638942174613
1679441229491965400,16.07396533203125,0.1661158603519201,0.01196750116944313,1.0573711646094917
1679441229501937700,16.083937744140623,0.26562837398350236,0.033248774129152295,1.1152015684179961
1679441229511909400,16.093909423828126,0.4603828843206167,0.0648152942597866,1.1138890245147048
1679441229521881600,16.103881591796874,0.7234773559123278,0.062054012852907174,0.9988215066157281
1679441229531853600,16.113853515625,0.9201140267342328,0.04398702576458454,0.7940722564868629
1679441229541825500,16.123825439453125,1.0388381674446165,0.049824645876884455,0.5812101347900926
1679441229551797500,16.133797607421876,1.0153940173625946,0.068514733299613,0.34981004749238487
1679441229561769500,16.14376953125,0.9209782423481344,0.08459668405055999,0.10015855645015835
1679441229571741700,16.15374169921875,0.767735307572782,0.06399988622367382,-0.17763941714614628
1679441229581713700,16.163713623046874,0.5210540645129978,0.028521745607256888,-0.44473537946417924
1679441229591685600,16.173685546875,0.22864976567625997,-0.004181669598817825,-0.6572390431120991
1679441229601658600,16.18365869140625,-0.16340309426188468,-0.023372692281007766,-0.7928384769082069
1679441229611630600,16.193630615234376,-0.5513261609189212,-0.06402852779626846,-0.8214641212813556
1679441229621602600,16.2036025390625,-0.8895189819842576,-0.08032675164639949,-0.745703070115298
1679441229631574500,16.213574462890627,-1.1162709512151776,-0.10375848063826561,-0.6059608374260366
1679441229641546500,16.22354638671875,-1.191932049138099,-0.12925766355395316,-0.43657764584124087
1679441229651518500,16.2335185546875,-1.1217634111516177,-0.18237550575733183,-0.21119871852919458
1679441229661490700,16.24349072265625,-0.9024678954064845,-0.24175416192114352,0.021615034958720206
1679441229671462700,16.253462646484376,-0.6179137255482375,-0.2777063497900963,0.28411826265901324
1679441229681434600,16.2634345703125,-0.37913404939323664,-0.25216741938591003,0.6268257846698164
1679441229691406600,16.273406494140627,-0.24174364052712916,-0.15823767432272434,0.982279975529015
1679441229701378600,16.283378662109374,-0.19927973267659543,-0.09674655604958533,1.2985181544177233
1679441229711350800,16.293350830078126,-0.20206264139339328,-0.1341138714134693,1.445133341616392
1679441229721322500,16.303322509765625,-0.23279519491791723,-0.20701894862651823,1.4406082654073833
1679441229731294700,16.313294677734376,-0.2626804839633405,-0.2867237689822912,1.3212043257392942
1679441229741266400,16.323266357421875,-0.2598981597684324,-0.3253752789378166,1.147986816688627
1679441229751238700,16.33323876953125,-0.1909988110654056,-0.3751508249759674,0.9239726018585264
1679441229761210600,16.343210693359374,-0.021161884363740682,-0.45894379142820835,0.6585207534857094
1679441229771182600,16.3531826171875,0.16277707131803035,-0.43342824189960955,0.40865854230225085
1679441229781155600,16.363155517578125,0.3241900146760046,-0.3345762380033731,0.1986361740760505
1679441229791127800,16.3731279296875,0.3530607198514044,-0.14900339750945568,0.04218918256238103
1679441229801099500,16.383099609375,0.30231720556393266,0.05144494055509567,-0.06106997025161981
1679441229811071700,16.39307177734375,0.17689035234451292,0.22906302265226838,-0.07170096212029457
1679441229821043500,16.40304345703125,0.12462591210007667,0.4028817124664783,-0.017777356491982935
1679441229831015700,16.413015625,0.09055822280347346,0.5158166022509336,0.05600698777362704
1679441229840987600,16.422987548828125,0.1383370420664549,0.5374550180852413,0.0699392131447792
1679441229850959600,16.432959716796876,0.24460385226383805,0.4441904589325189,-0.031070261046290397
1679441229860931600,16.442931640625,0.25759660482779145,0.3565156826108694,-0.13871625064238904
1679441229870903600,16.452903564453123,0.2192209892041981,0.29010230550467964,-0.2128425402134657
1679441229880875500,16.46287548828125,0.12137713943719863,0.196359022924304,-0.18746712980791924
1679441229890847700,16.47284765625,-0.008633826702088118,0.0565109917730093,-0.13875819008797408
1679441229900819500,16.4828193359375,-0.0827739986680448,-0.08594868318140506,-0.05847074753865599
1679441229910791700,16.492791748046876,-0.15359306338727474,-0.1666647264063358,-0.003965104238688946
1679441229920763400,16.502763427734376,-0.24140987852811813,-0.24446166731417177,0.02736453839614987
1679441229930735600,16.512735595703123,-0.2693624459452927,-0.3133984254181385,0.09575754501223564
1679441229940707600,16.52270751953125,-0.2426255379281938,-0.34637831947803494,0.20987740679755806
1679441229950679600,16.532679443359374,-0.2332559442974627,-0.38585692790746684,0.3393973745495081
1679441229960651500,16.542651611328125,-0.21045725251212716,-0.5107938056528568,0.47528965381234883
1679441229970623500,16.55262353515625,-0.19567220970392227,-0.6830085674017667,0.5275391887485981
1679441229980596500,16.562596435546876,-0.1339490362405777,-0.853303759264946,0.501713696487993
1679441229990568700,16.572568603515624,-0.10898761346340179,-0.9248989229232072,0.5090341025039553
1679441230000540400,16.58254052734375,-0.15032375939302145,-0.8686141411215066,0.5815666931428015
1679441230010512600,16.5925126953125,-0.3263724002163857,-0.7364157479405403,0.72696534415856
1679441230020484600,16.602484619140625,-0.5732937356423586,-0.5513888508915901,0.9432157931193709
1679441230030456600,16.61245654296875,-0.8014677735656499,-0.3775701610773802,1.1734984206944703
1679441230040428500,16.622428466796876,-0.9924970528345555,-0.31896424285173414,1.360098558409512
1679441230050400500,16.632400390625,-1.1141676222603767,-0.446433853945136,1.4529671039819716
1679441230060372500,16.64237255859375,-1.0800748715877533,-0.6355377911746501,1.4846999205902218
1679441230070344700,16.6523447265625,-0.8067688025832176,-0.8601350665897131,1.5091560241937636
1679441230080316400,16.66231640625,-0.10356379831638186,-1.0585311482995747,1.452164555427432
1679441230090288600,16.67228857421875,2.6213176403939724,-1.0302806208491324,0.9259956321187317
1679441230100260600,16.682260498046876,9.752359606885909,0.006340893459320068,-0.26419278822243214
1679441230110232600,16.692232666015624,12.346170816195011,1.518297362026572,-1.3457878551147877
1679441230120204800,16.702204833984375,4.380445619755983,1.405541335940361,-0.7641744002208113
1679441230130176500,16.712176513671874,-1.7285493012249469,0.5008054956018925,0.3593286942049861
1679441230140148700,16.722148681640626,-3.4819068804919717,-0.445023987147212,0.7720692451238632
1679441230150120400,16.732120361328125,-2.5504081209123135,-1.039205685582757,0.8244923830613493
1679441230160092700,16.7420927734375,-2.539244921863079,-1.31240478708148,0.7206992695011198
1679441230170065700,16.752065673828124,-2.536795775145292,-1.3182616964161396,0.7822616994448006
1679441230180037400,16.762037353515623,-1.577267145128548,-1.0513403600126505,0.8920552224636077
1679441230190009600,16.772009521484375,-0.14646613411679862,-0.6560317131489515,0.4231692982137203
1679441230199981600,16.781981689453126,2.407036591809988,-0.386574720788002,-0.6619985125988721
1679441230209953500,16.79195361328125,3.2394682434380053,-0.013435820156335829,-1.8153867499396203
1679441230219925800,16.80192578125,-0.1523275734961033,0.10300269383490085,-2.065557442550361
1679441230229897500,16.8118974609375,-3.4932430980205535,-0.479446481230855,-1.7337863250955938
1679441230239869700,16.82186962890625,-4.105818823541701,-0.7048574111163616,-0.9001913287766278
1679441230249841700,16.831841552734375,-3.3112831873267887,-0.5887631805181502,-0.13663739854171872
1679441230259813600,16.841813720703126,-2.5568627038791774,-0.5469476535737514,-0.23538740336820482
1679441230269785600,16.85178564453125,-0.9991624290078878,-0.38849370615184303,-1.046704809166491
1679441230279757600,16.861757568359376,1.30200701944679,-0.009272855257987975,-2.4287949807621536
1679441230289729500,16.8717294921875,2.0213781090840697,0.8807628440767526,-2.93782309191674
1679441230299701800,16.88170166015625,1.3988190419480204,1.4452537531256675,-2.5062755491971966
1679441230309673500,16.891673583984375,1.0994169931784272,1.3539689696133137,-2.067672242747247
1679441230319645700,16.901645751953126,1.3175506255373357,0.9735597857177257,-1.1908807134542614
1679441230329617400,16.911617431640625,1.5462421845287084,0.33418694642484187,0.3520704667050391
1679441230339589600,16.921589599609376,0.27847207346558567,-0.20519407128691672,1.5695999715015292
1679441230349561600,16.9315615234375,-2.43776783016026,-0.7513333310872315,1.6459472981229424
1679441230359534600,16.94153466796875,-2.0857138031333684,-1.4333417815357445,1.2125435330774634
1679441230369506600,16.951506591796875,-1.0090747512131928,-1.8328759371399879,0.5200139808755367
1679441230379478800,16.961478759765626,-0.612924977350235,-1.7857073587298393,-0.25240181266367434
1679441230389450500,16.971450439453125,-0.5129799175202846,-1.602234120863676,-0.9792373929627239
1679441230399422700,16.981422607421877,-0.4850076224893331,-1.3556015392512082,-1.3159620411716402
